Mod;State;Location;Type;X;Y;Z

Vanilla B42;KY;Brandenburg;poor_houses;2780;6229;0
Vanilla B42;KY;Brandenburg;poor_houses;2764;6313;0
Vanilla B42;KY;Brandenburg;poor_houses;2676;6381;0
Vanilla B42;KY;Brandenburg;poor_houses;2679;6335;0
Vanilla B42;KY;Brandenburg;poor_houses;2675;6220;0
Vanilla B42;KY;Brandenburg;poor_houses;2190;5773;0
Vanilla B42;KY;Brandenburg;poor_houses;1469;6325;0
Vanilla B42;KY;Brandenburg;poor_houses;1567;6062;0
Vanilla B42;KY;Brandenburg;poor_houses;1561;5675;0
Vanilla B42;KY;Brandenburg;poor_houses;1588;5648;0
Vanilla B42;KY;Brandenburg;poor_houses;1558;5617;0
Vanilla B42;KY;Brandenburg;poor_houses;1591;5609;0
Vanilla B42;KY;Brandenburg;medium_houses;2253;5902;0
Vanilla B42;KY;Brandenburg;medium_houses;2252;6091;0
Vanilla B42;KY;Brandenburg;medium_houses;2208;6129;0
Vanilla B42;KY;Brandenburg;medium_houses;2216;6243;0
Vanilla B42;KY;Brandenburg;medium_houses;1786;6539;0
Vanilla B42;KY;Brandenburg;medium_houses;1640;6105;0
Vanilla B42;KY;Brandenburg;medium_houses;1629;5681;0
Vanilla B42;KY;Brandenburg;medium_houses;1775;5749;0
Vanilla B42;KY;Brandenburg;medium_houses;1992;5822;0
Vanilla B42;KY;Brandenburg;rich_houses;1725;5977;0
Vanilla B42;KY;Brandenburg;rich_houses;1721;5935;0
Vanilla B42;KY;Brandenburg;rich_houses;1723;5902;0
Vanilla B42;KY;Brandenburg;rich_houses;1723;5863;0
Vanilla B42;KY;Brandenburg;rich_houses;1725;5827;0
Vanilla B42;KY;Brandenburg;rich_houses;1723;5797;0
Vanilla B42;KY;Brandenburg;doctor_houses;1724;5744;0
Vanilla B42;KY;Brandenburg;doctor_houses;1717;5755;0
Vanilla B42;KY;Brandenburg;doctor_houses;2076;5910;0
Vanilla B42;KY;Brandenburg;police_station;2040;5978;0
Vanilla B42;KY;Brandenburg;police_station;1418;5877;0
Vanilla B42;KY;Brandenburg;fire_station;2059;6259;1
Vanilla B42;KY;Brandenburg;fire_station;2061;6269;1

Vanilla B42;KY;Coalfield;unemployed;3453;8241;0
Vanilla B42;KY;Coalfield;unemployed;3452;8227;0
Vanilla B42;KY;Coalfield;unemployed;3434;8207;0
Vanilla B42;KY;Coalfield;unemployed;3415;8165;0
Vanilla B42;KY;Coalfield;unemployed;3452;8160;0
Vanilla B42;KY;Coalfield;unemployed;3493;8157;0
Vanilla B42;KY;Coalfield;unemployed;3547;8180;0
Vanilla B42;KY;Coalfield;unemployed;3534;8205;0
Vanilla B42;KY;Coalfield;unemployed;3511;8237;0

Vanilla B42;KY;Dark Wallow Lake;unemployed;8361;14004;0
Vanilla B42;KY;Dark Wallow Lake;unemployed;7754;14305;0
Vanilla B42;KY;Dark Wallow Lake;unemployed;7788;14649;0
Vanilla B42;KY;Dark Wallow Lake;unemployed;7636;14643;0
Vanilla B42;KY;Dark Wallow Lake;unemployed;7787;14584;0
Vanilla B42;KY;Dark Wallow Lake;unemployed;8795;15232;0
Vanilla B42;KY;Dark Wallow Lake;unemployed;8863;14946;0

Vanilla B42;KY;Echo Creek;unemployed;3580;11166;0
Vanilla B42;KY;Echo Creek;unemployed;3538;11107;0
Vanilla B42;KY;Echo Creek;unemployed;3583;10975;0
Vanilla B42;KY;Echo Creek;unemployed;3460;11047;0
